,Genotypes,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
0,(Gulabi X B’lore Purple),0.32766666666666666,9.0,38.333333333333336,105.0,558.6766666666667,104.8,16.900000000000002,18.233333333333334,18.53333333333333,0.5666666666666668,5.55,60.96666666666666,10.433333333333334,32.93333333333333,127.0,4.203333333333334,2.0
1,Alden,2.1376666666666666,10.0,35.333333333333336,102.66666666666667,262.8666666666667,182.77666666666667,15.523333333333333,17.666666666666668,18.656666666666666,0.7166666666666667,8.446666666666667,40.699999999999996,14.156666666666666,25.233333333333334,116.66666666666667,11.836666666666666,2.0
2,Aledo,0.9126666666666666,10.666666666666666,39.666666666666664,109.0,124.33999999999999,176.86666666666667,21.333333333333332,23.666666666666668,18.09,0.6666666666666666,5.56,51.199999999999996,15.776666666666666,22.066666666666666,141.66666666666666,5.390000000000001,2.3333333333333335
3,Amber Sweet,0.5286666666666667,10.0,36.333333333333336,99.33333333333333,85.62666666666667,137.36333333333334,15.166666666666666,17.599999999999998,18.01,0.5533333333333333,3.8200000000000003,38.23333333333333,9.266666666666667,10.953333333333333,121.33333333333333,4.03,1.3333333333333333
4,Arka Chitra,1.0756666666666665,10.0,35.0,102.66666666666667,317.27333333333337,237.71333333333334,18.766666666666666,21.266666666666666,16.94333333333333,0.7466666666666667,2.7933333333333334,52.64333333333334,17.633333333333333,26.366666666666664,127.33333333333333,3.4599999999999995,1.6666666666666667
5,Arka Hans,0.46900000000000003,9.333333333333334,33.333333333333336,114.0,398.04333333333335,122.16666666666667,15.1,16.866666666666667,21.25,0.4366666666666667,4.36,48.333333333333336,13.700000000000001,20.766666666666666,143.66666666666666,5.22,2.3333333333333335
6,Arka Kanchan,0.6233333333333334,10.0,36.333333333333336,107.33333333333333,247.67333333333332,189.76333333333332,15.556666666666667,16.633333333333333,15.89,0.5633333333333334,2.296666666666667,59.39000000000001,17.156666666666666,20.966666666666665,121.33333333333333,9.343333333333334,1.6666666666666667
7,Arka Shyam,1.0359999999999998,10.0,29.333333333333332,100.66666666666667,226.63333333333333,86.38,14.033333333333333,15.033333333333333,20.933333333333334,0.5466666666666667,4.68,67.77666666666667,17.033333333333335,26.3,123.33333333333333,6.29,1.6666666666666667
8,Arka Soma,0.4226666666666667,8.666666666666666,35.0,105.33333333333333,526.6633333333334,173.2266666666667,17.933333333333334,19.266666666666666,20.006666666666664,0.6133333333333333,3.4433333333333334,53.96666666666667,13.966666666666667,25.266666666666666,131.33333333333334,5.266666666666667,2.0
9,Armas,0.217,11.666666666666666,35.0,114.66666666666667,177.29999999999998,104.13,13.766666666666666,15.166666666666666,17.310000000000002,0.6666666666666666,5.45,47.26666666666667,12.6,17.23333333333333,148.66666666666666,4.203333333333333,1.6666666666666667
